uniqueid,id,cycle,setting1,setting2,setting3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,RUL
1,1,1,10.0047,0.2501,20,489.05,604.13,1499.45,1309.95,10.52,15.49,394.88,2318.87,8770.2,1.26,45.4,372.15,2388.13,8120.83,8.6216,0.03,368,2319,100,28.58,17.1735,222
2,1,2,0.0015,3.00E-04,100,518.67,642.13,1584.55,1403.96,14.62,21.61,553.67,2388.01,9045.76,1.3,47.29,521.81,2388.15,8132.87,8.3907,0.03,391,2388,100,38.99,23.3619,221
3,1,3,34.9986,0.8401,60,449.44,555.42,1368.17,1122.49,5.48,8,194.93,2222.86,8343.91,1.02,41.92,183.26,2387.95,8063.84,9.3557,0.02,334,2223,100,14.83,8.8555,220
4,1,4,20.0031,0.7005,0,491.19,607.03,1488.44,1249.18,9.35,13.65,334.82,2323.85,8721.53,1.08,44.26,314.84,2388.07,8052.3,9.2231,0.02,364,2324,100,24.42,14.7832,219
5,1,5,42.0041,0.8405,40,445,549.52,1354.48,1124.32,3.91,5.71,138.24,2211.8,8314.56,1.02,41.79,130.44,2387.89,8083.67,9.2986,0.02,330,2212,100,10.99,6.4025,218
6,1,6,20.0032,0.7017,0,491.19,607.37,1480.46,1258.9,9.35,13.65,334.51,2323.94,8711.44,1.08,44.4,315.36,2388.05,8053.17,9.2276,0.02,364,2324,100,24.44,14.7019,217
7,1,7,41.9998,0.84,40,445,549.57,1354.43,1131.44,3.91,5.71,139.11,2211.82,8316.88,1.02,42.09,130.16,2387.88,8082.01,9.3753,0.02,331,2212,100,10.53,6.4254,216
8,1,8,0.0011,0,100,518.67,642.08,1589.55,1407.59,14.62,21.61,553.48,2388.1,9050.35,1.3,47.5,521.74,2388.03,8133.29,8.4339,0.03,391,2388,100,38.98,23.2337,215
9,1,9,0.0011,0.002,100,518.67,642.7,1586.18,1399.01,14.62,21.61,553.9,2388.1,9051.35,1.3,47.3,521.72,2388.08,8132.72,8.3922,0.03,392,2388,100,38.99,23.2412,214
10,1,10,42.0066,0.84,40,445,549.83,1353.19,1125.09,3.91,5.71,138.37,2211.84,8320.04,1.02,41.91,130.32,2387.91,8085.94,9.3667,0.02,330,2212,100,10.75,6.4268,213
11,1,11,25.0051,0.62,80,462.54,537.41,1260.5,1051.56,7.05,9.02,175.86,1915.28,8009.91,0.94,36.66,165.53,2028.24,7866.43,10.8941,0.02,307,1915,84.93,14.28,8.5087,212
12,1,12,35.0029,0.8413,60,449.44,555.85,1360.54,1130.69,5.48,8,195.05,2222.88,8341.87,1.02,41.87,183.41,2387.95,8063.79,9.2878,0.02,335,2223,100,14.69,8.7988,211
13,1,13,42.0029,0.8409,40,445,549.91,1350.9,1123.53,3.91,5.71,139.09,2211.78,8321.2,1.02,42.14,130.6,2387.88,8081.77,9.349,0.02,329,2212,100,10.46,6.3382,210
14,1,14,25.0073,0.6203,80,462.54,537.22,1262.8,1051.01,7.05,9.02,175.35,1915.24,8014.89,0.94,36.88,164.63,2028.14,7870.29,10.916,0.02,306,1915,84.93,14.28,8.5684,209
15,1,15,9.9988,0.25,20,489.05,604.63,1497.87,1302.51,10.52,15.5,394.93,2318.9,8771.08,1.26,45.39,371.84,2388.12,8124.37,8.6496,0.03,369,2319,100,28.84,17.0805,208
